arbres_espece,arbres_genre,com_adresse,lat,lon,species_count,rarity_norm,size_raw,size_norm,nn_dist_m,isolation_norm,conservation_score,cluster
colurna,Corylus,50 Avenue Gambetta,48.86583362319786,2.4000829280727647,6,0.14473684210526316,16.0,0.30952380952380953,39.17200640090041,0.022327154227418832,0.1372742476440186,-1
saccharinum,Acer,2 Rue Jean Formige,48.84278366994572,2.2968613367111588,1,1.0,20.0,0.40476190476190477,47.82892363470529,0.02726140049080959,0.6650383354041934,-1
distichum,Taxodium,Chemin de Ceinture du lac Inferieur,48.86020278555863,2.259509509728375,4,0.23026315789473686,35.0,0.7619047619047619,4.228110769005486,0.002409927136845,0.36977489185897106,-1
x hispanica,Platanus,,48.84929027609924,2.3562112348828954,39,0.0,25.0,0.5238095238095238,433.061169311544,0.2468350336250055,0.24185132351945,-1
orientalis,Platanus,43 Q Rue des Ecoles,48.84931650431551,2.345186352900594,6,0.14473684210526316,24.0,0.5,18.056902118303316,0.01029202421593337,0.2131896211540954,-1
giganteum,Sequoiadendron,Allee de Longchamp / Route de Sevres à Neuilly,48.86945828649669,2.2477134364964235,5,0.17894736842105266,30.0,0.6428571428571428,140.07858933081022,0.07984161536020723,0.32296112221863543,-1
x hispanica,Platanus,50 Avenue Gambetta,48.86562176547551,2.399941138607966,39,0.0,28.0,0.5952380952380952,39.17200640090041,0.022327154227418832,0.17672576995645456,-1
x hispanica,Platanus,10 Avenue Foch,48.87153634227522,2.2781692443163384,39,0.0,27.0,0.5714285714285714,401.8508776684356,0.22904587603458948,0.2545420530936334,-1
nigra,Juglans,,48.83343581082583,2.4127979326349194,3,0.3157894736842105,26.0,0.5476190476190477,187.28028721436624,0.10674551141435369,0.3715127827323098,-1
biloba,Ginkgo,Cimetiere Du Pere Lachaise / Div 84,48.863392800334886,2.396846539577293,8,0.10197368421052633,20.0,0.40476190476190477,81.93342327119386,0.04670019092293121,0.16390385635400684,-1
colurna,Corylus,2 Quai de l'Archeveche,48.85278262187125,2.351016049448295,6,0.14473684210526316,19.0,0.38095238095238093,114.22482327774976,0.06510555573337592,0.18586208379115282,-1
x hispanica,Platanus,1 Rue de la Bonne,48.887747513088314,2.343508517049766,39,0.0,27.0,0.5714285714285714,308.10665745050113,0.17561379902239876,0.23181008729363206,-1
x hispanica,Platanus,,48.88040062826234,2.381298898975054,39,0.0,30.0,0.6428571428571428,9.347691035701418,0.005327971646087771,0.189752583880967,2
x hispanica,Platanus,31 Route de ceinture du Lac Daumesnil,48.83208718588047,2.4111234049339947,39,0.0,35.0,0.7619047619047619,13.64257310384358,0.007775956907363063,0.24144127120955722,0
sylvatica,Fagus,,48.85875368149572,2.2954992515919237,11,0.06698564593301437,6.0,0.07142857142857142,255.654792674399,0.14571742704731325,0.04437026558484164,-1
x hispanica,Platanus,,48.857838762835684,2.293318744984814,39,0.0,25.0,0.5238095238095238,287.8942493795092,0.164093185355334,0.20664990575188052,-1
carpinifolia,Zelkova,10 Avenue Foch,48.872641757654996,2.281364053188093,3,0.3157894736842105,27.0,0.5714285714285714,401.8508776684356,0.22904587603458948,0.43367328953928863,-1
grandiflora,Magnolia,1 Avenue Gordon Bennett,48.84749478298023,2.2519598546499586,6,0.14473684210526316,10.0,0.16666666666666666,36.31791520525092,0.02070038704954664,0.0758054916977153,3
biloba,Ginkgo,,48.88232085967634,2.384087511289442,8,0.10197368421052633,24.0,0.5,151.77744263976723,0.0865096961176695,0.2213580600098185,-1
koraiensis,Celtis,1 Avenue Gordon Bennett,48.84603981120142,2.2540662827092532,2,0.4868421052631579,9.0,0.14285714285714285,117.9680891738452,0.0672391323013211,0.27953417583895246,-1
fraxinifolia,Pterocarya,,48.88723844266431,2.3171697823653368,6,0.14473684210526316,30.0,0.6428571428571428,11.740233337326773,0.006691666434077621,0.2724345663773051,-1
grandiflora,Magnolia,127 Rue de Grenelle,48.85741730392897,2.3147251119535723,6,0.14473684210526316,12.0,0.21428571428571427,64.40615169708502,0.03671004409164746,0.10287547697875932,-1
carica,Ficus,2 Rue Eugene Atget,48.828839497864905,2.3497673462181323,2,0.4868421052631579,5.0,0.047619047619047616,716.1676681731624,0.4081993098935459,0.38407336436993134,-1
bungeana,Pinus,Route de la Ferme / Route de la Pyramide,48.82131243940147,2.455898290583926,1,1.0,16.0,0.30952380952380953,142.77139817912825,0.08137645526210138,0.6475430853267883,-1
baccata,Taxus,31 Route de ceinture du Lac Daumesnil,48.83207758657087,2.411817132919325,4,0.23026315789473686,5.0,0.047619047619047616,24.5612167879296,0.013999335893720462,0.07082210397793096,-1
baccata,Taxus,Cimetiere De Montmartre / Div 14,48.8858144164929,2.3301156114644277,4,0.23026315789473686,13.0,0.2380952380952381,1287.7359809915336,0.7339802704395958,0.4581639665008339,-1
sylvatica,Fagus,,48.836425026086125,2.2901856276830106,11,0.06698564593301437,10.0,0.16666666666666666,14.43661861419419,0.008228544819040217,0.02639523076325434,-1
